id,scenario,wrongness,typicality,scenario_3,scenario_7
1,clif_harm_e_01_1,4,0,clif,clif_harm
1,clif_harm_e_02_1,2,2,clif,clif_harm
1,clif_harm_e_03_1,4,1,clif,clif_harm
1,clif_harm_e_04_1,3,1,clif,clif_harm
1,clif_harm_e_05_1,3,1,clif,clif_harm
1,clif_harm_e_06_1,2,2,clif,clif_harm
1,clif_harm_e_07_1,4,1,clif,clif_harm
1,clif_harm_e_08_1,2,2,clif,clif_harm
1,clif_harm_e_09_1,3,2,clif,clif_harm
1,clif_harm_e_10_1,1,3,clif,clif_harm
1,clif_harm_e_11_1,2,2,clif,clif_harm
1,clif_harm_e_12_1,1,2,clif,clif_harm
1,clif_harm_e_13_1,3,1,clif,clif_harm
1,clif_harm_e_14_1,2,1,clif,clif_harm
1,clif_harm_e_15_1,3,2,clif,clif_harm
1,clif_harm_e_16_1,4,1,clif,clif_harm
1,clif_harm_ph_01_1,3,1,clif,clif_harm
1,clif_harm_ph_02_1,2,2,clif,clif_harm
1,clif_harm_ph_03_1,2,1,clif,clif_harm
1,clif_fair_02_1,2,1,clif,clif_fair
1,clif_fair_03_1,1,2,clif,clif_fair
1,clif_fair_04_1,1,4,clif,clif_fair
1,clif_fair_05_1,2,3,clif,clif_fair
1,clif_fair_06_1,1,4,clif,clif_fair
1,clif_fair_07_1,4,1,clif,clif_fair
1,clif_fair_08_1,4,1,clif,clif_fair
1,clif_fair_09_1,3,1,clif,clif_fair
1,clif_fair_10_1,2,2,clif,clif_fair
1,clif_fair_11_1,3,2,clif,clif_fair
1,clif_fair_12_1,3,2,clif,clif_fair
1,clif_pure_1_1,5,0,clif,clif_pure
1,clif_pure_02_1,5,0,clif,clif_pure
1,clif_pure_03_1,5,0,clif,clif_pure
1,clif_pure_04_1,4,1,clif,clif_pure
1,clif_pure_05_1,5,0,clif,clif_pure
1,clif_pure_06_1,5,0,clif,clif_pure
1,clif_pure_07_1,4,0,clif,clif_pure
1,clif_pure_08_1,4,1,clif,clif_pure
1,clif_pure_09_1,5,0,clif,clif_pure
1,clif_pure_10_1,5,0,clif,clif_pure
1,emt_14_1,1,3,emt,emt
1,emt_15_1,4,1,emt,emt
1,emt_12_1,2,2,emt,emt
1,emt_13_1,1,3,emt,emt
1,emt_11_1,2,2,emt,emt
1,emt_10_1,1,3,emt,emt
1,emt_09_1,1,4,emt,emt
1,emt_08_1,4,1,emt,emt
1,emt_07_1,3,1,emt,emt
1,emt_06_1,1,4,emt,emt
1,emt_05_1,1,4,emt,emt
1,emt_04_1,4,1,emt,emt
1,emt_03_1,3,1,emt,emt
1,emt_02_1,3,1,emt,emt
1,emt_01_1,4,1,emt,emt
1,graham_pure_05_1,5,0,graham,graham_pure
1,graham_pure_04_1,4,1,graham,graham_pure
1,graham_pure_03_1,3,0,graham,graham_pure
1,graham_pure_02_1,5,0,graham,graham_pure
1,graham_pure_01_1,5,0,graham,graham_pure
1,graham_fair_05_1,3,1,graham,graham_fair
1,graham_fair_04_1,3,0,graham,graham_fair
1,graham_fair_03_1,1,3,graham,graham_fair
1,graham_fair_02_1,3,1,graham,graham_fair
1,graham_fair_01_1,2,2,graham,graham_fair
1,graham_harm_05_1,5,0,graham,graham_harm
1,graham_harm_04_1,0,2,graham,graham_harm
1,graham_harm_03_1,2,2,graham,graham_harm
1,graham_harm_02_1,2,1,graham,graham_harm
1,graham_harm_01_1,4,1,graham,graham_harm
2,clif_harm_e_01_1,3,2,clif,clif_harm
2,clif_harm_e_02_1,2,1,clif,clif_harm
