consent,clif_harm_e_01_1,clif_harm_e_01_2,clif_harm_e_02_1,clif_harm_e_02_2,clif_harm_e_03_1,clif_harm_e_03_2,clif_harm_e_04_1,clif_harm_e_04_2,clif_harm_e_05_1,clif_harm_e_05_2,clif_harm_e_06_1,clif_harm_e_06_2,clif_harm_e_07_1,clif_harm_e_07_2,clif_harm_e_08_1,clif_harm_e_08_2,clif_harm_e_09_1,clif_harm_e_09_2,clif_harm_e_10_1,clif_harm_e_10_2,clif_harm_e_11_1,clif_harm_e_11_2,clif_harm_e_12_1,clif_harm_e_12_2,clif_harm_e_13_1,clif_harm_e_13_2,clif_harm_e_14_1,clif_harm_e_14_2,clif_harm_e_15_1,clif_harm_e_15_2,clif_harm_e_16_1,clif_harm_e_16_2,clif_harm_ph_01_1,clif_harm_ph_01_2,clif_harm_ph_02_1,clif_harm_ph_02_2,clif_harm_ph_03_1,clif_harm_ph_03_2,cliff_fair_01_1,cliff_fair_01_2,clif_fair_02_1,clif_fair_02_2,clif_fair_03_1,clif_fair_03_2,clif_fair_04_1,clif_fair_04_2,clif_fair_05_1,clif_fair_05_2,clif_fair_06_1,clif_fair_06_2,clif_fair_07_1,clif_fair_07_2,clif_fair_08_1,clif_fair_08_2,clif_fair_09_1,clif_fair_09_2,clif_fair_10_1,clif_fair_10_2,clif_fair_11_1,clif_fair_11_2,clif_fair_12_1,clif_fair_12_2,clif_pure_1_1,clif_pure_1_2,clif_pure_02_1,clif_pure_02_2,clif_pure_03_1,clif_pure_03_2,clif_pure_04_1,clif_pure_04_2,clif_pure_05_1,clif_pure_05_2,clif_pure_06_1,clif_pure_06_2,clif_pure_07_1,clif_pure_07_2,clif_pure_08_1,clif_pure_08_2,clif_pure_09_1,clif_pure_09_2,clif_pure_10_1,clif_pure_10_2,emt_14_1,emt_14_2,emt_15_1,emt_15_2,emt_12_1,emt_12_2,emt_13_1,emt_13_2,emt_11_1,emt_11_2,emt_10_1,emt_10_2,emt_09_1,emt_09_2,emt_08_1,emt_08_2,emt_07_1,emt_07_2,emt_06_1,emt_06_2,emt_05_1,emt_05_2,emt_04_1,emt_04_2,emt_03_1,emt_03_2,emt_02_1,emt_02_2,emt_01_1,emt_01_2,graham_pure_05_1,graham_pure_05_2,graham_pure_04_1,graham_pure_04_2,graham_pure_03_1,graham_pure_03_2,graham_pure_02_1,graham_pure_02_2,graham_pure_01_1,graham_pure_01_2,graham_fair_05_1,graham_fair_05_2,graham_fair_04_1,graham_fair_04_2,graham_fair_03_1,graham_fair_03_2,graham_fair_02_1,graham_fair_02_2,graham_fair_01_1,graham_fair_01_2,graham_harm_05_1,graham_harm_05_2,graham_harm_04_1,graham_harm_04_2,graham_harm_03_1,graham_harm_03_2,graham_harm_02_1,graham_harm_02_2,graham_harm_01_1,graham_harm_01_2,age,gender,hispanic,race,lib_con_1,lib_con_2,lib_con_3,pol_party,Debrief,likely_dups,total_na,clif_harm_wrong_mean,clif_fair_wrong_mean,clif_pure_wrong_mean,graham_harm_wrong_mean,graham_pure_wrong_mean,graham_fair_wrong_mean,clif_wrong_mean,graham_wrong_mean,emt_wrong_mean,clif_harm_likely_mean,clif_fair_likely_mean,clif_pure_likely_mean,graham_harm_likely_mean,graham_pure_likely_mean,graham_fair_likely_mean,clif_likely_mean,graham_likely_mean,emt_likely_mean
I understand and agree to continue,4,0,2,2,4,1,3,1,3,1,2,2,4,1,2,2,3,2,1,3,2,2,1,2,3,1,2,1,3,2,4,1,3,1,2,2,2,1,3,1,2,1,1,2,1,4,2,3,1,4,4,1,4,1,3,1,2,2,3,2,3,2,5,0,5,0,5,0,4,1,5,0,5,0,4,0,4,1,5,0,5,0,1,3,4,1,2,2,1,3,2,2,1,3,1,4,4,1,3,1,1,4,1,4,4,1,3,1,3,1,4,1,5,0,4,1,3,0,5,0,5,0,3,1,3,0,1,3,3,1,2,2,5,0,0,2,2,2,2,1,4,1,19,Male,No,White or Caucasian,6,5,6,Republican,Continue,NA,9,2.631578947,2.363636364,4.7,2.6,4.4,2.4,3.073170732,3.133333333,2.333333333,1.473684211,2.090909091,0.2,1.2,0.2,1.4,1.317073171,0.933333333,2.133333333
I understand and agree to continue,3,2,2,1,4,2,3,1,3,2,3,1,5,2,3,2,2,5,3,1,2,1,2,2,1,3,2,4,2,1,3,2,4,3,3,1,5,1,3,1,3,1,2,0,1,5,3,2,4,2,4,1,2,3,1,3,1,2,3,1,4,1,5,0,3,1,5,0,5,0,2,0,5,0,3,0,3,0,5,0,1,0,1,5,2,3,1,4,1,2,2,3,1,2,2,5,2,4,1,3,2,1,1,5,5,2,3,4,2,5,4,0,2,0,0,0,0,0,3,0,3,0,5,0,4,0,2,1,4,0,4,1,3,1,1,3,3,5,4,0,4,1,19,Female,No,White or Caucasian,4,4,4,Democratic,Continue,NA,9,2.894736842,2.545454545,3.7,3,1.6,3.8,3,2.8,2,1.947368421,1.909090909,0.1,2,0,0.4,1.463414634,0.8,3.2
I understand and agree to continue,5,0,4,2,4,1,2,4,3,2,4,0,4,1,2,3,4,2,2,4,4,2,0,2,4,2,1,4,4,2,5,2,5,0,5,1,5,3,4,1,4,2,3,1,4,4,5,0,5,1,3,1,4,0,3,4,3,1,5,4,5,5,5,0,5,0,5,0,5,0,3,2,5,0,5,0,4,2,5,0,5,0,3,5,3,2,2,2,5,0,3,3,3,4,4,4,5,3,3,2,1,3,3,4,5,0,5,1,5,2,4,0,4,0,1,0,1,0,5,0,5,3,5,1,5,0,4,3,5,2,4,5,5,0,0,4,5,5,5,1,5,1,19,Female,No,White or Caucasian,5,4,4,Republican,Continue,NA,9,3.526315789,4,4.7,4,3.2,4.6,3.951219512,3.933333333,3.6,1.947368421,2.090909091,0.4,2.2,0.6,2.2,1.585365854,1.666666667,2.333333333
I understand and agree to continue,4,3,3,4,5,4,4,2,4,3,3,1,4,3,4,1,2,3,3,4,4,4,2,2,2,3,3,2,4,4,4,5,4,2,1,2,1,3,4,5,4,1,1,3,1,5,2,4,4,5,3,1,3,3,2,4,2,4,5,5,5,3,5,0,3,1,4,1,5,0,1,2,5,1,5,0,4,0,2,2,2,1,3,5,3,4,2,3,3,4,3,5,3,4,2,4,3,5,3,4,3,4,3,5,3,2,2,4,3,5,3,3,2,0,0,1,4,4,5,0,4,1,5,3,5,3,3,3,4,2,3,2,3,2,1,1,5,5,3,1,5,1,21,Female,No,White or Caucasian,6,6,6,Republican,Continue,NA,9,3.210526316,2.909090909,3.6,3.4,3,4,3.243902439,3.466666667,2.8,2.894736842,3.454545455,0.8,2,1.2,2.6,2.585365854,1.933333333,4.066666667
I understand and agree to continue,4,1,3,2,4,1,3,2,2,1,3,2,4,2,5,2,2,2,2,3,3,2,3,1,2,2,2,1,3,2,3,1,4,2,2,1,3,1,4,2,4,1,2,1,2,1,3,1,4,2,4,1,3,1,2,3,4,2,4,3,4,1,5,0,4,2,5,0,5,0,4,1,4,0,4,0,4,1,4,1,4,0,2,1,3,3,2,1,3,2,3,2,2,1,2,1,3,1,3,1,3,1,2,2,5,1,3,2,3,2,4,1,4,0,1,0,2,0,3,1,5,1,5,2,4,1,3,1,4,1,4,1,3,1,3,2,3,2,3,1,4,1,20,Female,No,White or Caucasian,5,5,5,Republican,Continue,NA,7,3,3.272727273,4.3,3.2,3,4,3.414634146,3.4,2.866666667,1.631578947,1.545454545,0.5,1.4,0.4,1.2,1.341463415,1,1.466666667
I understand and agree to continue,3,0,3,1,3,0,3,1,4,1,4,1,4,0,4,1,2,1,3,1,4,1,3,1,2,2,3,0,3,1,4,1,3,0,3,0,3,2,3,1,3,0,3,0,2,0,3,0,3,2,4,0,3,2,2,2,3,2,4,1,3,2,5,0,4,1,5,0,5,0,4,0,4,0,4,0,4,0,4,0,4,0,1,4,3,0,3,1,3,1,2,2,1,3,2,2,3,3,3,1,1,1,1,4,4,0,1,3,3,4,3,1,2,0,0,2,1,0,2,1,3,1,4,0,4,1,3,0,4,1,3,0,3,0,1,2,4,2,4,0,5,0,20,Female,No,White or Caucasian,2,2,2,Democratic,Continue,NA,7,3.210526316,3,4.3,3.4,1.6,3.6,3.414634146,2.866666667,2.266666667,0.789473684,1,0.1,0.8,0.8,0.4,0.682926829,0.666666667,2
I understand and agree to continue,4,0,3,1,5,4,4,2,3,1,5,3,5,2,5,4,4,3,3,1,3,1,3,4,3,1,2,3,4,2,4,1,4,2,5,1,5,0,4,3,3,2,4,1,3,1,3,2,4,2,3,1,5,2,3,4,3,1,5,2,3,2,5,0,4,0,5,0,5,1,5,1,4,0,5,0,4,2,5,1,5,1,3,3,3,2,4,2,4,1,3,0,2,3,4,2,4,4,3,1,4,2,2,4,5,2,3,2,4,3,4,3,4,1,0,1,3,0,5,1,2,1,5,3,4,1,3,1,5,1,4,0,5,1,2,4,5,4,5,3,5,1,19,Female,No,White or Caucasian,4,4,4,Independent,Continue,NA,7,3.894736842,3.545454545,4.7,4.4,2.8,4.2,4,3.8,3.466666667,1.894736842,1.818181818,0.6,2.6,0.8,1.2,1.585365854,1.533333333,2.266666667
I understand and agree to continue,4,1,2,1,4,1,4,1,4,2,3,1,4,1,4,1,4,2,4,1,3,1,3,1,3,1,2,1,3,2,4,1,3,1,3,2,2,2,4,3,4,1,3,1,3,1,3,2,4,2,5,0,4,3,4,2,4,1,5,2,5,1,5,0,3,0,4,1,5,0,3,0,NA,NA,5,0,5,0,4,0,4,0,4,5,3,4,3,1,3,2,3,1,3,4,3,4,4,5,3,1,4,2,5,4,4,1,4,2,4,2,4,2,3,0,2,1,1,0,4,0,4,1,5,1,5,2,3,1,5,2,4,1,5,1,1,1,4,2,5,0,5,1,21,Male,No,Asian,6,5,5,Republican,Continue,NA,9,3.315789474,4,4.222222222,4,2.8,4.4,3.725,3.733333333,3.6,1.263157895,1.454545455,0.111111111,1,0.4,1.4,1.1,0.933333333,2.666666667
I understand and agree to continue,5,2,3,2,4,2,3,4,3,1,3,2,5,1,3,2,NA,NA,4,2,3,1,3,2,2,3,2,2,3,2,4,1,3,1,4,1,2,3,4,3,4,1,2,2,1,4,3,1,3,2,3,1,4,2,2,4,4,2,3,1,5,1,3,1,3,2,4,1,3,1,3,2,5,1,5,1,5,1,3,1,4,1,3,2,5,2,4,2,2,1,4,3,2,4,3,3,3,2,3,2,3,1,3,3,4,2,3,5,4,4,5,2,1,1,1,2,1,1,4,1,3,1,5,1,4,2,2,3,4,1,4,3,5,1,2,1,3,3,4,1,5,1,18,Male,No,Black or African American,4,4,4,Other (please explain),Continue,NA,11,3.277777778,3.090909091,3.8,3.8,2,3.8,3.375,3.2,3.4,1.888888889,1.909090909,1.2,1.4,1.2,2,1.75,1.533333333,2.533333333
I understand and agree to continue,3,2,3,2,4,3,3,2,4,2,3,1,4,2,2,2,3,4,2,1,4,1,2,1,1,2,2,2,3,3,3,1,5,2,5,0,2,4,3,3,5,2,3,1,3,1,4,2,4,2,4,1,5,2,3,2,4,1,5,1,4,0,5,0,5,1,5,0,5,0,5,1,4,0,5,0,5,2,5,0,5,0,2,5,2,4,3,1,5,2,2,2,2,3,2,3,3,3,1,NA,2,1,2,2,5,1,3,4,4,4,4,2,5,0,3,0,1,0,5,0,0,1,4,2,5,1,3,2,4,1,4,2,5,1,0,1,4,1,5,2,5,1,18,Female,No,Asian,2,2,2,Democratic,Continue,NA,7,3.052631579,4,4.9,3.8,2.8,4,3.756097561,3.533333333,2.8,1.947368421,1.363636364,0.4,1.2,0.2,1.6,1.43902439,1,2.642857143
